bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,252.0,93.0,159.0,36.904761904761905,63.095238095238095,252.0,93.0,159.0,0.37323915399125096,58.02919708029197,57.65595792630072,0.5849056603773585,63600.0,2790.0,60810.0
2.0,252.0,213.0,39.0,84.52380952380952,15.476190476190482,504.0,306.0,198.0,1.2280772163583096,72.26277372262774,71.03469650626943,1.5454545454545454,79200.0,9180.0,70020.0
3.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,756.0,555.0,201.0,2.2273949512381104,73.35766423357664,71.13026928233853,2.7611940298507465,80400.0,16650.0,63750.0
4.0,252.0,252.0,0.0,100.0,0.0,1008.0,807.0,201.0,3.238752658827307,73.35766423357664,70.11891157474933,4.014925373134329,80400.0,24210.0,56190.0
5.0,252.0,246.0,6.0,97.61904761904762,2.3809523809523796,1260.0,1053.0,207.0,4.226030420997712,75.54744525547446,71.32141483447674,5.086956521739131,82800.0,31590.0,51210.0
6.0,251.0,247.0,4.0,98.40637450199203,1.5936254980079667,1511.0,1300.0,211.0,5.217321507404583,77.00729927007299,71.78997776266841,6.161137440758294,84400.0,39000.0,45400.0
7.0,252.0,247.0,5.0,98.01587301587301,1.9841269841269877,1763.0,1547.0,216.0,6.208612593811454,78.83211678832117,72.62350419450972,7.162037037037037,86400.0,46410.0,39990.0
8.0,252.0,250.0,2.0,99.2063492063492,0.7936507936507979,2015.0,1797.0,218.0,7.21194365292772,79.56204379562044,72.35010014269272,8.243119266055047,87200.0,53910.0,33290.0
9.0,252.0,248.0,4.0,98.41269841269842,1.5873015873015817,2267.0,2045.0,222.0,8.207248063571056,81.02189781021897,72.81464974664792,9.211711711711711,88800.0,61350.0,27450.0
10.0,252.0,248.0,4.0,98.41269841269842,1.5873015873015817,2519.0,2293.0,226.0,9.202552474214391,82.48175182481752,73.27919935060314,10.146017699115044,90400.0,68790.0,21610.0
11.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,2771.0,2542.0,229.0,10.201870209094192,83.57664233576642,73.37477212667223,11.100436681222707,91600.0,76260.0,15340.0
12.0,252.0,252.0,0.0,100.0,0.0,3023.0,2794.0,229.0,11.213227916683389,83.57664233576642,72.36341441908303,12.200873362445416,91600.0,83820.0,7780.0
13.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,3275.0,3045.0,230.0,12.22057230003612,83.94160583941606,71.72103353937993,13.23913043478261,92000.0,91350.0,650.0
14.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,3527.0,3296.0,231.0,13.227916683388852,84.30656934306569,71.07865265967683,14.268398268398268,92400.0,98880.0,-6480.0
15.0,252.0,252.0,0.0,100.0,0.0,3779.0,3548.0,231.0,14.239274390978046,84.30656934306569,70.06729495208765,15.35930735930736,92400.0,106440.0,-14040.0
16.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,4031.0,3797.0,234.0,15.238592125857847,85.4014598540146,70.16286772815675,16.226495726495727,93600.0,113910.0,-20310.0
17.0,251.0,247.0,4.0,98.40637450199203,1.5936254980079667,4282.0,4044.0,238.0,16.22988321226472,86.86131386861314,70.63143065634841,16.991596638655462,95200.0,121320.0,-26120.0
18.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,4534.0,4293.0,241.0,17.22920094714452,87.95620437956204,70.72700343241752,17.813278008298756,96400.0,128790.0,-32390.0
19.0,252.0,252.0,0.0,100.0,0.0,4786.0,4545.0,241.0,18.240558654733714,87.95620437956204,69.71564572482832,18.858921161825727,96400.0,136350.0,-39950.0
20.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,5038.0,4796.0,242.0,19.24790303808645,88.32116788321167,69.07326484512522,19.818181818181817,96800.0,143880.0,-47080.0
21.0,252.0,249.0,3.0,98.80952380952381,1.1904761904761898,5290.0,5045.0,245.0,20.247220772966248,89.41605839416059,69.16883762119434,20.591836734693878,98000.0,151350.0,-53350.0
22.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,5542.0,5296.0,246.0,21.25456515631898,89.78102189781022,68.52645674149124,21.528455284552845,98400.0,158880.0,-60480.0
23.0,252.0,252.0,0.0,100.0,0.0,5794.0,5548.0,246.0,22.265922863908177,89.78102189781022,67.51509903390205,22.552845528455286,98400.0,166440.0,-68040.0
24.0,252.0,252.0,0.0,100.0,0.0,6046.0,5800.0,246.0,23.27728057149737,89.78102189781022,66.50374132631285,23.577235772357724,98400.0,174000.0,-75600.0
25.0,252.0,251.0,1.0,99.60317460317461,0.39682539682539186,6298.0,6051.0,247.0,24.284624954850102,90.14598540145985,65.86136044660975,24.497975708502025,98800.0,181530.0,-82730.0
26.0,252.0,250.0,2.0,99.2063492063492,0.7936507936507979,6550.0,6301.0,249.0,25.28795601396637,90.87591240875912,65.58795639479276,25.305220883534137,99600.0,189030.0,-89430.0
27.0,252.0,252.0,0.0,100.0,0.0,6802.0,6553.0,249.0,26.299313721555563,90.87591240875912,64.57659868720356,26.31726907630522,99600.0,196590.0,-96990.0
28.0,251.0,249.0,2.0,99.20318725099601,0.7968127490039905,7053.0,6802.0,251.0,27.298631456435366,91.60583941605839,64.30720795962301,27.099601593625497,100400.0,204060.0,-103660.0
