,Field Name,Field Type,# Records With Values,% Populated,# Zeros,Min,25%,50%,75%,Max,Mean,Most Common,Stdev
0,Date,datetime64[ns],96753,100.00%,0,2010-01-01 00:00:00,2010-04-03 00:00:00,2010-06-27 00:00:00,2010-09-12 00:00:00,2010-12-31 00:00:00,2010-06-25 22:21:52,2010-02-28 00:00:00,98 days 21:38:58
1,Amount,float64,96753,100.00%,0,0.01,33.48,137.98,428.2,3102045.53,427.89,3.62,10006.14
