bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
19.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,2361.0,2231.0,130.0,18.215218811234486,72.62569832402235,54.410479512787866,17.161538461538463
20.0,124.0,124.0,0.0,100.0,0.0,2485.0,2355.0,130.0,19.227629000653167,72.62569832402235,53.398069323369185,18.115384615384617
21.0,125.0,125.0,0.0,100.0,0.0,2610.0,2480.0,130.0,20.248203788373612,72.62569832402235,52.37749453564874,19.076923076923077
22.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,2734.0,2602.0,132.0,21.244284781188764,73.74301675977654,52.49873197858777,19.71212121212121
23.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,2858.0,2724.0,134.0,22.24036577400392,74.86033519553072,52.619969421526804,20.328358208955223
24.0,124.0,124.0,0.0,100.0,0.0,2982.0,2848.0,134.0,23.2527759634226,74.86033519553072,51.60755923210812,21.253731343283583
25.0,125.0,124.0,1.0,99.2,0.7999999999999972,3107.0,2972.0,135.0,24.26518615284128,75.41899441340782,51.153808260566535,22.014814814814816
26.0,124.0,124.0,0.0,100.0,0.0,3231.0,3096.0,135.0,25.27759634225996,75.41899441340782,50.141398071147854,22.933333333333334
27.0,124.0,124.0,0.0,100.0,0.0,3355.0,3220.0,135.0,26.290006531678642,75.41899441340782,49.128987881729174,23.85185185185185
28.0,125.0,123.0,2.0,98.4,1.5999999999999943,3480.0,3343.0,137.0,27.29425212279556,76.53631284916202,49.24206072636646,24.401459854014597
29.0,124.0,124.0,0.0,100.0,0.0,3604.0,3467.0,137.0,28.30666231221424,76.53631284916202,48.22965053694777,25.306569343065693
30.0,124.0,124.0,0.0,100.0,0.0,3728.0,3591.0,137.0,29.31907250163292,76.53631284916202,47.2172403475291,26.21167883211679
31.0,124.0,124.0,0.0,100.0,0.0,3852.0,3715.0,137.0,30.3314826910516,76.53631284916202,46.20483015811041,27.116788321167885
32.0,125.0,124.0,1.0,99.2,0.7999999999999972,3977.0,3839.0,138.0,31.343892880470282,77.09497206703911,45.75107918656883,27.818840579710145
33.0,124.0,124.0,0.0,100.0,0.0,4101.0,3963.0,138.0,32.35630306988896,77.09497206703911,44.73866899715015,28.717391304347824
34.0,124.0,124.0,0.0,100.0,0.0,4225.0,4087.0,138.0,33.36871325930764,77.09497206703911,43.72625880773147,29.615942028985508
35.0,124.0,124.0,0.0,100.0,0.0,4349.0,4211.0,138.0,34.38112344872632,77.09497206703911,42.71384861831279,30.514492753623188
36.0,125.0,124.0,1.0,99.2,0.7999999999999972,4474.0,4335.0,139.0,35.393533638145,77.6536312849162,42.2600976467712,31.18705035971223
37.0,124.0,124.0,0.0,100.0,0.0,4598.0,4459.0,139.0,36.40594382756368,77.6536312849162,41.24768745735252,32.07913669064748
38.0,124.0,124.0,0.0,100.0,0.0,4722.0,4583.0,139.0,37.41835401698236,77.6536312849162,40.23527726793384,32.97122302158273
39.0,125.0,125.0,0.0,100.0,0.0,4847.0,4708.0,139.0,38.43892880470281,77.6536312849162,39.21470248021339,33.8705035971223
40.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,4971.0,4830.0,141.0,39.435009797517964,78.77094972067039,39.335939923152424,34.255319148936174
41.0,124.0,124.0,0.0,100.0,0.0,5095.0,4954.0,141.0,40.447419986936644,78.77094972067039,38.32352973373374,35.13475177304964
42.0,124.0,124.0,0.0,100.0,0.0,5219.0,5078.0,141.0,41.459830176355325,78.77094972067039,37.31111954431506,36.01418439716312
43.0,125.0,125.0,0.0,100.0,0.0,5344.0,5203.0,141.0,42.48040496407577,78.77094972067039,36.29054475659462,36.90070921985816
44.0,124.0,124.0,0.0,100.0,0.0,5468.0,5327.0,141.0,43.49281515349445,78.77094972067039,35.27813456717594,37.780141843971634
45.0,124.0,124.0,0.0,100.0,0.0,5592.0,5451.0,141.0,44.50522534291313,78.77094972067039,34.26572437775726,38.659574468085104
46.0,124.0,124.0,0.0,100.0,0.0,5716.0,5575.0,141.0,45.51763553233181,78.77094972067039,33.25331418833858,39.53900709219858
47.0,125.0,124.0,1.0,99.2,0.7999999999999972,5841.0,5699.0,142.0,46.53004572175049,79.32960893854748,32.79956321679699,40.13380281690141
48.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,5965.0,5822.0,143.0,47.53429131286741,79.88826815642459,32.35397684355718,40.71328671328671
49.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,6089.0,5945.0,144.0,48.53853690398432,80.44692737430168,31.908390470317357,41.28472222222222
50.0,125.0,125.0,0.0,100.0,0.0,6214.0,6070.0,144.0,49.55911169170477,80.44692737430168,30.88781568259691,42.15277777777778
51.0,124.0,124.0,0.0,100.0,0.0,6338.0,6194.0,144.0,50.57152188112345,80.44692737430168,29.875405493178228,43.013888888888886
52.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,6462.0,6317.0,145.0,51.575767472240365,81.00558659217877,29.429819119938408,43.56551724137931
53.0,124.0,119.0,5.0,95.96774193548387,4.032258064516128,6586.0,6436.0,150.0,52.54735467015023,83.79888268156425,31.251528011414024,42.906666666666666
54.0,125.0,124.0,1.0,99.2,0.7999999999999972,6711.0,6560.0,151.0,53.55976485956891,84.35754189944134,30.797777039872436,43.443708609271525
55.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,6835.0,6683.0,152.0,54.56401045068583,84.91620111731844,30.35219066663261,43.9671052631579
56.0,124.0,124.0,0.0,100.0,0.0,6959.0,6807.0,152.0,55.57642064010451,84.91620111731844,29.339780477213928,44.7828947368421
57.0,124.0,124.0,0.0,100.0,0.0,7083.0,6931.0,152.0,56.58883082952319,84.91620111731844,28.327370287795247,45.598684210526315
58.0,125.0,125.0,0.0,100.0,0.0,7208.0,7056.0,152.0,57.60940561724363,84.91620111731844,27.306795500074806,46.421052631578945
59.0,124.0,124.0,0.0,100.0,0.0,7332.0,7180.0,152.0,58.62181580666231,84.91620111731844,26.294385310656125,47.23684210526316
60.0,124.0,124.0,0.0,100.0,0.0,7456.0,7304.0,152.0,59.63422599608099,84.91620111731844,25.281975121237444,48.05263157894737
61.0,124.0,124.0,0.0,100.0,0.0,7580.0,7428.0,152.0,60.64663618549967,84.91620111731844,24.269564931818763,48.86842105263158
62.0,125.0,122.0,3.0,97.6,2.4000000000000057,7705.0,7550.0,155.0,61.642717178314825,86.59217877094972,24.94946159263489,48.70967741935484
63.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,7829.0,7672.0,157.0,62.63879817112998,87.70949720670392,25.070699035573938,48.86624203821656
64.0,124.0,119.0,5.0,95.96774193548387,4.032258064516128,7953.0,7791.0,162.0,63.61038536903985,90.50279329608938,26.892407927049533,48.092592592592595
65.0,125.0,124.0,1.0,99.2,0.7999999999999972,8078.0,7915.0,163.0,64.62279555845852,91.06145251396649,26.438656955507966,48.558282208588956
66.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,8202.0,8037.0,165.0,65.61887655127367,92.17877094972067,26.559894398447,48.70909090909091
67.0,124.0,124.0,0.0,100.0,0.0,8326.0,8161.0,165.0,66.63128674069236,92.17877094972067,25.547484209028312,49.46060606060606
68.0,124.0,124.0,0.0,100.0,0.0,8450.0,8285.0,165.0,67.64369693011103,92.17877094972067,24.535074019609638,50.21212121212121
69.0,125.0,125.0,0.0,100.0,0.0,8575.0,8410.0,165.0,68.66427171783148,92.17877094972067,23.51449923188919,50.96969696969697
70.0,124.0,124.0,0.0,100.0,0.0,8699.0,8534.0,165.0,69.67668190725016,92.17877094972067,22.502089042470516,51.72121212121212
71.0,124.0,124.0,0.0,100.0,0.0,8823.0,8658.0,165.0,70.68909209666884,92.17877094972067,21.489678853051828,52.472727272727276
72.0,124.0,124.0,0.0,100.0,0.0,8947.0,8782.0,165.0,71.70150228608752,92.17877094972067,20.477268663633154,53.224242424242426
73.0,125.0,125.0,0.0,100.0,0.0,9072.0,8907.0,165.0,72.72207707380797,92.17877094972067,19.456693875912705,53.981818181818184
74.0,124.0,124.0,0.0,100.0,0.0,9196.0,9031.0,165.0,73.73448726322665,92.17877094972067,18.444283686494018,54.733333333333334
75.0,124.0,124.0,0.0,100.0,0.0,9320.0,9155.0,165.0,74.74689745264533,92.17877094972067,17.431873497075344,55.484848484848484
76.0,125.0,125.0,0.0,100.0,0.0,9445.0,9280.0,165.0,75.76747224036578,92.17877094972067,16.411298709354895,56.24242424242424
77.0,124.0,124.0,0.0,100.0,0.0,9569.0,9404.0,165.0,76.77988242978445,92.17877094972067,15.398888519936222,56.99393939393939
78.0,124.0,124.0,0.0,100.0,0.0,9693.0,9528.0,165.0,77.79229261920314,92.17877094972067,14.386478330517534,57.74545454545454
79.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,9817.0,9650.0,167.0,78.78837361201829,93.29608938547486,14.507715773456567,57.78443113772455
80.0,125.0,125.0,0.0,100.0,0.0,9942.0,9775.0,167.0,79.80894839973874,93.29608938547486,13.487140985736119,58.532934131736525
81.0,124.0,124.0,0.0,100.0,0.0,10066.0,9899.0,167.0,80.82135858915741,93.29608938547486,12.474730796317445,59.275449101796404
82.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,10190.0,10021.0,169.0,81.81743958197256,94.41340782122904,12.595968239256479,59.29585798816568
83.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,10314.0,10144.0,170.0,82.82168517308948,94.97206703910615,12.150381866016673,59.67058823529412
84.0,125.0,125.0,0.0,100.0,0.0,10439.0,10269.0,170.0,83.84225996080993,94.97206703910615,11.129807078296224,60.40588235294118
85.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,10563.0,10392.0,171.0,84.84650555192684,95.53072625698324,10.684220705056404,60.771929824561404
86.0,124.0,123.0,1.0,99.19354838709677,0.8064516129032313,10687.0,10515.0,172.0,85.85075114304377,96.08938547486034,10.23863433181657,61.133720930232556
87.0,124.0,124.0,0.0,100.0,0.0,10811.0,10639.0,172.0,86.86316133246244,96.08938547486034,9.226224142397896,61.854651162790695
88.0,125.0,125.0,0.0,100.0,0.0,10936.0,10764.0,172.0,87.88373612018289,96.08938547486034,8.205649354677448,62.58139534883721
89.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,11060.0,10886.0,174.0,88.87981711299804,97.20670391061452,8.326886797616481,62.5632183908046
90.0,124.0,124.0,0.0,100.0,0.0,11184.0,11010.0,174.0,89.89222730241671,97.20670391061452,7.314476608197808,63.275862068965516
91.0,125.0,125.0,0.0,100.0,0.0,11309.0,11135.0,174.0,90.91280209013716,97.20670391061452,6.293901820477359,63.99425287356322
92.0,124.0,124.0,0.0,100.0,0.0,11433.0,11259.0,174.0,91.92521227955585,97.20670391061452,5.281491631058671,64.70689655172414
93.0,124.0,124.0,0.0,100.0,0.0,11557.0,11383.0,174.0,92.93762246897452,97.20670391061452,4.269081441639997,65.41954022988506
94.0,124.0,124.0,0.0,100.0,0.0,11681.0,11507.0,174.0,93.95003265839321,97.20670391061452,3.2566712522213095,66.13218390804597
95.0,125.0,125.0,0.0,100.0,0.0,11806.0,11632.0,174.0,94.97060744611365,97.20670391061452,2.236096464500875,66.85057471264368
96.0,124.0,124.0,0.0,100.0,0.0,11930.0,11756.0,174.0,95.98301763553233,97.20670391061452,1.223686275082187,67.5632183908046
97.0,124.0,121.0,3.0,97.58064516129032,2.4193548387096797,12054.0,11877.0,177.0,96.97093403004573,98.88268156424581,1.9117475342000887,67.10169491525424
98.0,124.0,122.0,2.0,98.38709677419355,1.6129032258064484,12178.0,11999.0,179.0,97.96701502286088,100.0,2.0329849771391224,67.03351955307262
99.0,125.0,125.0,0.0,100.0,0.0,12303.0,12124.0,179.0,98.98758981058133,100.0,1.0124101894186737,67.73184357541899
100.0,124.0,124.0,0.0,100.0,0.0,12427.0,12248.0,179.0,100.0,100.0,0.0,68.42458100558659
