bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
14.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,8229.0,7692.0,537.0,13.222629054716105,88.61386138613861,75.3912323314225,14.324022346368714,214800.0,230760.0,-15960.0
15.0,588.0,585.0,3.0,99.48979591836735,0.5102040816326507,8817.0,8277.0,540.0,14.228250219173843,89.10891089108911,74.88066067191527,15.327777777777778,216000.0,248310.0,-32310.0
16.0,588.0,586.0,2.0,99.65986394557824,0.3401360544217624,9405.0,8863.0,542.0,15.235590394169117,89.43894389438944,74.20335350022032,16.35239852398524,216800.0,265890.0,-49090.0
17.0,587.0,584.0,3.0,99.48892674616695,0.5110732538330467,9992.0,9447.0,545.0,16.23949254808932,89.93399339933994,73.69450085125062,17.33394495412844,218000.0,283410.0,-65410.0
18.0,588.0,584.0,4.0,99.31972789115646,0.6802721088435391,10580.0,10031.0,549.0,17.243394702009525,90.5940594059406,73.35066470393107,18.271402550091075,219600.0,300930.0,-81330.0
19.0,588.0,588.0,0.0,100.0,0.0,11168.0,10619.0,549.0,18.254172898079865,90.5940594059406,72.33988650786074,19.342440801457194,219600.0,318570.0,-98970.0
20.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,11756.0,11206.0,550.0,19.26323208361267,90.75907590759076,71.49584382397808,20.374545454545455,220000.0,336180.0,-116180.0
21.0,588.0,584.0,4.0,99.31972789115646,0.6802721088435391,12344.0,11790.0,554.0,20.267134237532876,91.41914191419141,71.15200767665854,21.28158844765343,221600.0,353700.0,-132100.0
22.0,587.0,587.0,0.0,100.0,0.0,12931.0,12377.0,554.0,21.276193423065685,91.41914191419141,70.14294849112574,22.34115523465704,221600.0,371310.0,-149710.0
23.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,13519.0,12964.0,555.0,22.28525260859849,91.58415841584159,69.2989058072431,23.35855855855856,222000.0,388920.0,-166920.0
24.0,588.0,587.0,1.0,99.82993197278911,0.17006802721088832,14107.0,13551.0,556.0,23.294311794131296,91.74917491749174,68.45486312336044,24.37230215827338,222400.0,406530.0,-184130.0
25.0,588.0,588.0,0.0,100.0,0.0,14695.0,14139.0,556.0,24.30508999020164,91.74917491749174,67.4440849272901,25.429856115107913,222400.0,424170.0,-201770.0
